KUALIFIKASI PERUSAHAAN,NAMA VENDOR,STATUS REKANAN,BIDANG USAHA,CQSMS VENDOR,PROVINSI,INDUSTRY KEY,KODE SUBKLASIFIKASI SBU
"PT","INDOCAST FRANSASIA SEJAHTERA","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Sumatera Utara","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","IN004"
"PT","MULTI BANGUN INDONESIA","Registered","Sub Kontraktor","","DKI Jakarta","","BS001"
"PT","SARANA BANGUN INDAH","Rekanan Terseleksi Waskita","Supplier Menengah","Supplier : 95 High Risk (Version 3)","Balikesir","BBM / BAHAN BAKAR MINYAK, SUPPLIER","BS001"
"PT","TRIA BHUMI PRAWARA","Unverified","Sub Kontraktor Besar","","DKI Jakarta","","BS002"
"CV","YULIANA INTI PERSADA","Rekanan Terdaftar","Supplier Menengah,","Sewa Alat : 38 Low Risk (Version 3), Supplier : 55 Low Risk (Version 1)","Jawa Tengah","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","BS002"
"PT","DUTA HITA JAYA","Calon Rekanan Waskita Approved Level 1","Supplier Menengah","","Lampung","","IN011"
"PT","SPEKTRUM KRISINDO ELEKTRIKA","Unverified","Supplier","","Banten","","BS007"
"CV","ANEKA REKAKOMINDO KENCANA","Unverified","Sub Kontraktor Kecil dan Menengah","","Papua","","BS001"
"PT","TRIGATRA SISTEM INTEGRASI","Registered","Sub Kontraktor Besar","","Sumatera Utara","CIVIL CHEMICAL, SUPPLIER","IN006"
"PT","ALAM LOKA BERSAMA","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Besar","","Papua Barat","INFRASTUCTURE SUB STRUCTURE, SUBKON ;","KK001"
"PT","PT THE FAR EAST","Calon Rekanan Waskita Approved Level 1","Supplier Menengah","","Sulawesi Tengah","AGREGAT & BATU PECAH / BELAH, SUPPLIER","BG003"
"PT","Pyramida Raya Persada","Unverified","Supplier Besar","","Jawa Tengah","ELECTRICAL CONTROL INSTRUMENT EPC, SUPPLIER ;","BS001"
"PT","KARYA PUTRA YUDHA","Waiting List Dokumen","Konsultan Konstruksi","","Jawa Barat","JASA KONSULTANSI JASA REKAYASA KONSTRUKSI, SUBKON","BG005"
"PT","PANCA KARYA WIJAYA","Unverified","Sub Kontraktor","","DKI Jakarta","","BS007"
"PT","RIZKI KURNIA","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Kecil dan Menengah","","Lampung","","BG009"
"PT","NUGRAH KARYA MULTININDO","Rekanan Terseleksi Waskita","Sub Kontraktor Kecil dan Menengah","Supplier : 33 Low Risk (Version 2)","DKI Jakarta","BORED PILE & SOLDIER PILE, SUBKON ;","BS010"
"PT","MITRA SUPER STRUKTUR","Registered","Sub Kontraktor Kecil dan Menengah","","Sulawesi Tengah","","BS002"
"PT","RESTU BUMI ADIYAKSA","Unverified","Supplier Besar","","DKI Jakarta","","BG003"
"PT","MARANTI TRENCHLESINDO ABADI","Registered","Supplier Menengah","","Jawa Barat","","BG001"
"CV","PLASTIKATAMA TEKNOLOGI INDUSTRI","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Riau","SEWA KENDARAAN","IN001"
"PT","DELTA SYSTECH INDONESIA","Unverified","Supplier","","DKI Jakarta","","BS002"
"PT","GORIP NANDA GUNA","Rekanan Terdaftar","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","EKSPEDISI / ANGKUTAN LAUT & SUNGAI, SUBKON","BS001"
"PT","GALVA TECHNOLOGIES Tbk","Rekanan Terdaftar","Sewa Alat","Sewa Alat : 63 Medium Risk (Version 1)","DKI Jakarta","","IN006"
"PT","SHAF SAVARLI BERSAUDARA","Rekanan Terseleksi Waskita","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 52 Low Risk (Version 1)","DKI Jakarta","SOIL IMPROVEMENT, SUBKON","BS004"
"PT","SINGGALANG CENTRALPERSADA","Registered","Supplier Menengah","","Sumatera Selatan","","BG001"
"CV","Batara Surya Semesta","Calon Rekanan Waskita Approved Level 1","Supplier Menengah","","Nusa Tenggara Timur","BBM / BAHAN BAKAR MINYAK, SUPPLIER","KK011"
"PT","WASKITA KARYA INFRASTRUKTUR","Unverified","Supplier Menengah","","DKI Jakarta","","BS002"
